,ORG_NOME,PAPP_COD,PAPP_NOME,PAPP_PN,APAA_CODI,APAA_DATA,APAA_STATUS
37345,C&D ZODIAC,3494,"Double, Last Row Seat Assembly",41192029-108,,,
37346,C&D ZODIAC,3495,"Double, Front Row Seat Assembly",41202029-101,,,
37347,C&D ZODIAC,3496,"Double, Front Row Seat Assembly",41202029-102,,,
37348,C&D ZODIAC,3499,AFT Attendant Seat (FWD Facing),41142001-139,,,
37349,C&D ZODIAC,3500,FWD Attendant  Seat (AFT Facing),41131001-179,,,
37350,C&D ZODIAC,3501,AFT Attendant Seat (AFT Facing),41131001-181,,,
37351,C&D ZODIAC,3502,Side Mounted Attendant  Seat (AFT Facing),41162001-103,,,
37352,C&D ZODIAC,3503,Double Standard Seat Assembly,41192034-101,,,
37353,C&D ZODIAC,3504,Double Standard Seat Assembly,41192034-102,,,
37354,C&D ZODIAC,3505,Double FWD Exit Seat  Assembly,41192034-103,,,
37355,C&D ZODIAC,3506,Double FWD Exit Seat  Assembly,41192034-104,,,
37356,C&D ZODIAC,3507,Double AFT Exit Seat  Assembly,41192034-105,,,
37357,C&D ZODIAC,3508,Double AFT Exit Seat  Assembly,41192034-106,,,
37358,C&D ZODIAC,3509,Double Last Row Seat  Assembly,41192034-107,,,
37359,C&D ZODIAC,3510,Double Last Row Seat  Assembly,41192034-108,,,
37360,C&D ZODIAC,3511,Double Front  Row Seat  Assembly,41202034-101,,,
37361,C&D ZODIAC,3512,Double Front  Row Seat  Assembly,41202034-102,,,
37362,C&D ZODIAC,3517,Double FWD Exit Seat  Assembly,41192026-105,,,
37363,C&D ZODIAC,3518,Double FWD Exit Seat  Assembly,41192026-106,,,
37364,C&D ZODIAC,3519,Double AFT Exit Seat  Assembly,41192026-107,,,
37365,C&D ZODIAC,3520,Double AFT Exit Seat  Assembly,41192026-108,,,
37366,C&D ZODIAC,3521,LH F/C Single Seat  Assembly,41402013-101,,,
37367,C&D ZODIAC,3522,RH F/C Double Seat  Assembly,41412013-101,,,
37368,C&D ZODIAC,3523,Standart Bottom Cushion Assembly,41401025-523,,,
37369,C&D ZODIAC,3524,Standart Bottom Cushion Assembly,41191142-551,,,
37370,C&D ZODIAC,3531,"Double Attendant  Seat, AFT Facing",41461001-101,,,
37371,C&D ZODIAC,3532,"Double Attendant  Seat, AFT Facing",41461001-103,,,
37372,C&D ZODIAC,3533,Double Standard Seat Assembly,41192028-101,,,
37373,C&D ZODIAC,3534,Double Standard Seat Assembly,41192028-102,,,
37374,C&D ZODIAC,3535,Double FWD Exit Seat  Assembly,41192028-103,,,
37375,C&D ZODIAC,3536,Double FWD Exit Seat  Assembly,41192028-104,,,
37376,C&D ZODIAC,3537,Double AFT Exit Seat  Assembly,41192028-105,,,
37377,C&D ZODIAC,3538,Double AFT Exit Seat  Assembly,41192028-106,,,
37378,C&D ZODIAC,3539,Double Last Row Seat  Assembly,41192028-107,,,
37379,C&D ZODIAC,3540,Double Last Row Seat  Assembly,41192028-108,,,
37380,C&D ZODIAC,3541,Double Front  Row Seat  Assembly,41202028-101,,,
37381,C&D ZODIAC,3542,Double Front  Row Seat  Assembly,41202028-102,,,
37382,C&D ZODIAC,3543,AFT Attendant Seat (FWD Facing),41142001-141,,,
