,Organization_Name,Product_Code,Name_Product,Part_Number,Approval_Code,Approval_Date,ORG_NABREV_FAB_PROD
173,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1861,VHF/NAV/GS/COMM,069-1024-33,,,ALLIEDSIGNAL OLATHE
174,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1862,VHF/NAV/GS/COMM,069-1024-34,,,ALLIEDSIGNAL OLATHE
175,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1863,VHF/NAV/GS/COMM,069-1024-35,,,ALLIEDSIGNAL OLATHE
176,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1864,VHF/NAV/GS/COMM,069-1024-36,,,ALLIEDSIGNAL OLATHE
177,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1865,VHF/NAV/GS/COMM,069-1024-37,,,ALLIEDSIGNAL OLATHE
178,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1866,VHF/NAV/GS/COMM,069-1024-38,,,ALLIEDSIGNAL OLATHE
179,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1867,VHF/NAV/GS/COMM,069-1024-39,,,ALLIEDSIGNAL OLATHE
180,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1868,VHF/NAV/GS/COMM,069-1024-40,,,ALLIEDSIGNAL OLATHE
181,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1869,VHF/NAV/GS/COMM,069-1024-41,,,ALLIEDSIGNAL OLATHE
182,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1870,VHF/NAV/GS/COMM,069-1024-42,,,ALLIEDSIGNAL OLATHE
183,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1871,VHF/NAV/GS/COMM,069-1024-43,,,ALLIEDSIGNAL OLATHE
